catcode,catorder,catname,industry,sector,newsletter
T6200,M05,Sea freight & passenger services,Sea Transport,Transportation,Freight & Transport
T6250,M05,Cruise ships & lines,Sea Transport,Transportation,Freight & Transport
T7000,M06,Freight & delivery services,Misc Transport,Transportation,Freight & Transport
T7100,M01,Express delivery services,Air Transport,Transportation,Freight & Transport
T7200,N12,Warehousing,Misc Business,Misc Business,Freight & Transport
T8000,M06,Recreational transport,Misc Transport,Transportation,Freight & Transport
T8100,M06,"Motorcycles, snowmobiles & other motorized vehicle",Misc Transport,Transportation,Freight & Transport
T8200,M06,Motor homes & camper trailers,Misc Transport,Transportation,Freight & Transport
T8300,M06,Pleasure boats,Misc Transport,Transportation,Freight & Transport
T8400,M06,Bicycles & other non-motorized recreational transp,Misc Transport,Transportation,Freight & Transport
T9000,N08,Lodging & tourism,Lodging/Tourism,Misc Business,Hospitality & Retail
T9100,N08,Hotels & motels,Lodging/Tourism,Misc Business,Hospitality & Retail
T9300,N08,Resorts,Lodging/Tourism,Misc Business,Hospitality & Retail
T9400,N08,Travel agents,Lodging/Tourism,Misc Business,Hospitality & Retail
X0000,W07,Other,Other,Other,
X1200,W06,Retired,Retired,Other,
X3000,W03,Civil servant/public employee,Civil Servants/Public Officials,Other,
X3100,W03,Public official (elected or appointed),Civil Servants/Public Officials,Other,
X3200,W03,Courts & Justice System,Civil Servants/Public Officials,Other,
X3300,W03,Municipal & county government organizations,Civil Servants/Public Officials,Other,
X3500,W04,"Public school teachers, administrators & officials",Education,Other,
X3700,W03,US Postal Service,Civil Servants/Public Officials,Other,
X4000,W02,Non-Profits,Non-Profit Institutions,Other,
X4100,W02,Non-profit foundations,Non-Profit Institutions,Other,
X4110,W02,Philanthropists,Non-Profit Institutions,Other,
X4200,W02,"Museums, art galleries, libraries, etc.",Non-Profit Institutions,Other,
X5000,W07,Military,Other,Other,
X7000,W05,"Churches, clergy & religious organizations",Clergy & Religious Organizations,Other,
X8000,W07,International Organizations,Other,Other,
X9000,W07,Foreign Governments,Other,Other,Foreign Affairs
Y0000,Y00,Unknown,Unknown,Unknown,
Y1000,Y01,"Homemakers, students & other non-income earners",Homemakers/Non-income earners,Unknown,
Y2000,Y02,No employer listed or discovered,No Employer Listed or Found,Unknown,
Y3000,Y03,Generic occupation - impossible to assign category,Generic Occupation/Category Unknown,Unknown,
Y4000,Y04,Employer listed but category unknown,Employer Listed/Category Unknown,Unknown,
Z1000,Q16,Candidate Committees,Candidate Committees,Ideology/Single-Issue,
Z1100,Q16,Republican Candidate Committees,Candidate Committees,Ideology/Single-Issue,
Z1200,Q16,Democratic Candidate Committees,Candidate Committees,Ideology/Single-Issue,
Z1300,Q16,Third-Party Candidate Committees,Candidate Committees,Ideology/Single-Issue,
Z1400,Q16,Unknown-Party Candidate Committees,Candidate Committees,Ideology/Single-Issue,
Z4100,Z04,Republican Joint Candidate Committee,Joint Candidate Cmte,Joint Candidate Cmtes,
Z4200,Z04,Democratic Joint Candidate Committee,Joint Candidate Cmte,Joint Candidate Cmtes,
Z4300,Z04,Third-Party Joint Candidate Committee,Joint Candidate Cmte,Joint Candidate Cmtes,
Z4400,Z04,Liberal Non-party Joint Fundraising Committee,Joint Candidate Cmte,Joint Candidate Cmtes,
Z4500,Z04,Conservative Non-party Joint Fundraising Committee,Joint Candidate Cmte,Joint Candidate Cmtes,
Z5000,Z02,Party Committees,Party Committees,Party Cmte,
Z5100,Z02,Republican Party Committees,Party Committees,Party Cmte,
Z5200,Z02,Democratic Party Committees,Party Committees,Party Cmte,
Z5300,Z02,Third-Party Party Committees,Party Committees,Party Cmte,
Z9000,Z07,Candidate contribution to his/her own campaign,Candidate Self-finance,Candidate,
Z9100,Z08,Transfer between national party committees,Party Committee Transfer,Non-contribution,
Z9500,Z09,Transfer from intermediary (type 24I or 24T),Non-contribution,Non-contribution,
Z9600,Z09,"Non-Contribution, Miscellaneous",Non-contribution,Non-contribution,
Z9700,Z09,Unitemized (small) contributions,Non-contribution,Non-contribution,
Z9800,Z09,Public Funding,Non-contribution,Non-contribution,
Z9999,Z09,Internal Transfer and other non-contributions,Non-contribution,Non-contribution,
